id,government_id,name,slug,created,contacts
25,48,"Muskogee, OK Department of Veterans Affairs",muskogee-ok-department-of-veterans-affairs,2014-01-17 21:34:51+00:00,1
26,52,Metropolitan Police Department,metropolitan-police-department,2014-01-17 22:37:44+00:00,0
27,1,U.S. Department of Defense,us-department-of-defense,2014-01-17 23:14:11+00:00,1
28,20,Washington Aging & Long-Term Support Administration,washington-aging-long-term-support-administration,2014-01-22 15:55:03+00:00,1
29,34,South Carolina Department of Health and Environmental Control,south-carolina-department-of-health-and-environmen,2014-01-22 17:52:26+00:00,4
30,5,Missouri Department of Health and Senior Services,missouri-department-of-health-and-senior-services,2014-01-23 15:16:50+00:00,1
31,45,Aging and Disability Services Division,aging-and-disability-services-division,2014-01-23 15:29:56+00:00,1
32,15,New Hampshire Bureau of Elderly and Adult Services,new-hampshire-bureau-of-elderly-and-adult-services,2014-01-23 15:36:58+00:00,1
33,36,Maryland Department of Aging,maryland-department-of-aging,2014-01-23 15:48:44+00:00,1
34,50,South Dakota Department of Health,south-dakota-south-dakota-department-of-health,2014-01-23 16:03:03+00:00,2
35,47,Ohio Department of Health,ohio-department-of-health,2014-01-23 16:21:14+00:00,1
36,26,Rhode Island Department of Health,rhode-island-department-of-health,2014-01-23 16:28:23+00:00,1
37,52,Washington D.C. Office on Aging,washington-dc-office-on-aging,2014-01-23 16:34:00+00:00,1
38,22,Wisconsin Bureau of Aging and Disability Resources,wisconsin-bureau-of-aging-and-disability-resources,2014-01-23 16:36:45+00:00,1
39,51,Wyoming Department of Health,wyoming-department-of-health,2014-01-23 16:41:48+00:00,1
40,4,Colorado Department of Health,colorado-department-of-health,2014-01-23 16:44:52+00:00,1
41,23,Illinois Community College Board,illinois-community-college-board,2014-01-23 17:48:22+00:00,0
42,16,New York City Comptroller’s Office,new-york-city-comptrollers-office,2014-01-24 15:15:40+00:00,2
43,19,Virginia Polytechnic Institute and State University,virginia-polytechnic-institute-and-state-universit,2014-01-24 17:16:08+00:00,1
44,36,Maryland Department of Health and Mental Hygiene,maryland-department-of-health-and-mental-hygiene,2014-01-24 23:07:41+00:00,1
45,7,Georgia Department of Community Health,georgia-department-of-community-health,2014-01-28 14:35:08+00:00,1
46,1,Centers for Medicare & Medicaid Services,centers-for-medicare-medicaid-services,2014-01-28 15:04:51+00:00,1
47,25,New Jersey Division of Health Facilities Evaluation & Licensing,new-jersey-division-of-health-facilities-evaluatio,2014-01-29 00:18:36+00:00,1
48,17,Pennsylvania Department of Health,pennsylvania-department-of-health,2014-01-29 02:58:07+00:00,2
49,1,Environmental Protection Agency Region 5,environmental-protection-agency-region,2014-01-30 05:44:17+00:00,1
50,1,City of Akron,city-of-akron,2014-01-30 16:04:29+00:00,0
51,18,Utah Health Facility Licensing & Certification,utah-health-facility-licensing-certification,2014-01-30 18:56:38+00:00,1
52,52,Metropolitan Police Department,metropolitan-police-department-2,2014-01-30 22:13:09+00:00,3
53,32,Massachusetts Executive Office of Elder Affairs,massachusetts-executive-office-of-elder-affairs,2014-01-31 16:45:32+00:00,2
54,23,City of Chicago Business Affairs and Consumer Protection,city-of-chicago-business-affairs-and-consumer-prot,2014-01-31 17:11:59+00:00,1
55,22,Wisconsin Department of Health Services,wisconsin-department-of-public-health,2014-02-04 20:27:03+00:00,1
56,1,National Oceanic and Atmospheric Administration,national-oceanic-and-atmospheric-administration,2014-02-05 20:37:50+00:00,0
57,1,U.S. Food and Drug Administration (FDA),food-and-drug-administration,2014-02-06 23:53:07+00:00,1
58,16,New York City Department of Finance,new-york-city-department-of-finance,2014-02-10 16:24:36+00:00,1
59,23,Chicago Public Schools,chicago-public-schools,2014-02-13 06:07:42+00:00,1
60,16,New York City Office of Payroll Administration,new-york-city-office-of-payroll-administration,2014-02-14 16:37:52+00:00,1
61,20,Washington State Department of Health,washington-state-department-of-health,2014-02-16 21:28:20+00:00,3
62,1,Office of Personnel Management (OPM),office-of-personnel-management-opm,2014-02-20 03:00:22+00:00,2
63,19,Lynchburg Police Department,lynchburg-police-department,2014-02-20 23:58:48+00:00,0
64,23,Metropolitan Water Reclamation District of Greater Chicago,metropotian-water-reclamation-district,2014-02-21 16:59:25+00:00,1
65,37,City of Haines City,city-of-haines-city,2014-02-22 01:01:23+00:00,0
68,1,San Francisco ,san-francisco,2014-02-25 22:31:29+00:00,0
69,37,Miami-Dade County Medical Examiner Dept,miami-dade-county-medical-examiner-dept,2014-02-26 02:33:05+00:00,1
70,29,Dallas ISD ,dallas-isd,2014-02-26 17:22:39+00:00,2
73,1,Bureau of Indian Affairs,bureau-of-indian-affairs,2014-02-26 18:59:58+00:00,1
74,1,Bureau of Indian Affairs,bureau-of-indian-affairs-2,2014-02-26 19:00:25+00:00,0
79,1,Ronald Reagan Presidential Library,ronald-reagan-presidential-library,2014-02-26 21:12:20+00:00,0
80,30,Ronald Reagan Presidential Library,ronald-reagan-presidential-library-2,2014-02-26 21:13:02+00:00,0
81,11,Baton Rouge Metro Council,baton-rouge-metro-council,2014-02-26 21:32:56+00:00,0
84,1,NASA,nasa,2014-02-27 05:15:46+00:00,0
88,52,Department of Homeland Security,department-of-homeland-security,2014-02-27 19:30:11+00:00,1
89,17,Pennsylvania Treasury,pennsylvania-treasury,2014-02-27 19:30:40+00:00,1
90,1,"U.S. Department of Homeland Security, National Protection and Programs Directorate",us-department-of-homeland-security,2014-02-27 19:46:27+00:00,1
91,30,California Department of Toxic Substances Control,california-department-of-toxic-substances-control,2014-02-27 20:00:11+00:00,1
92,17,Pennsylvania Office of Attorney General,pennsylvania-office-of-attorney-general,2014-02-27 20:11:44+00:00,1
93,1,National Security Agency,national-security-agency-2,2014-02-28 00:37:12+00:00,0
94,1,National Security Agency,national-security-agency-3,2014-02-28 00:37:48+00:00,0
96,1,OSHA,osha,2014-03-02 00:23:47+00:00,0
97,29,Texas Comptroller of Public Accounts,texas-comptroller-of-public-accounts,2014-03-03 16:41:01+00:00,3
98,1,U.S. Department of Labor,us-department-of-labor,2014-03-03 16:54:51+00:00,1
102,5,Columbia Public Schools,columbia-public-schools,2014-03-04 15:35:47+00:00,1
103,19,College of William & Mary,college-of-william-mary,2014-03-04 16:06:39+00:00,0
104,19,College of William & Mary,college-of-william-mary-2,2014-03-04 16:07:20+00:00,1
105,17,Office of the Governor,office-of-the-governor,2014-03-04 19:13:02+00:00,1
106,1,U.S. Department of Homeland Security,us-department-of-homeland-security-2,2014-03-05 22:28:18+00:00,2
107,1,"U.S. Environmental Protection Agency, Region 6",us-environmental-protection-agency-region,2014-03-05 22:51:11+00:00,1
108,17,Pennsylvania Department of Corrections,pennsylvania-department-of-corrections,2014-03-06 19:05:04+00:00,1
109,17,Pennsylvania Department of Transportation,pennsylvania-department-of-transportation,2014-03-06 19:26:12+00:00,1
110,17,Pennsylvania Department of Transportation,pennsylvania-department-of-transportation-2,2014-03-06 19:27:55+00:00,1
111,1,USDA Food and Nutrition Service,usda-food-and-nutrition-service,2014-03-06 20:03:15+00:00,1
113,17,Pennsylvania Department of Education,pennsylvania-department-of-education-2,2014-03-06 21:03:32+00:00,1
114,29,University of North Texas System,university-of-north-texas-system,2014-03-07 16:25:59+00:00,6
115,25,New Jersey Department of Education,new-jersey-department-of-education,2014-03-11 16:06:31+00:00,1
116,1,USDA Rural Development ,usda-rural-development,2014-03-13 03:25:35+00:00,2
117,1,Equal Employment Opportunity Commission,equal-employment-opportunity-commission,2014-03-14 19:21:44+00:00,1
118,7,Georgia Department of Transportation,georgia-department-of-transportation,2014-03-17 14:19:25+00:00,1
119,7,Georgia Department of Transportation,georgia-department-of-transportation-2,2014-03-17 14:23:47+00:00,0
120,14,City of Ann Arbor,city-of-ann-arbor,2014-03-17 14:23:53+00:00,1
121,7,Georgia Department of Transportation,georgia-department-of-transportation-3,2014-03-17 14:26:02+00:00,0
122,16,New Rochelle Board of Education,new-rochelle-board-of-education,2014-03-17 14:37:39+00:00,0
123,16,New Rochelle Police Department,new-rochelle-police-department,2014-03-17 14:37:58+00:00,0
124,16,City of New Rochelle,city-of-new-rochelle,2014-03-17 14:38:10+00:00,0
125,20,United States Coast Guard,united-states-coast-guard,2014-03-17 16:23:32+00:00,1
126,30,California Office of Emergency Services,california-office-of-emergency-services,2014-03-17 18:06:12+00:00,3
127,11,East Baton Rouge Parish Attorney,east-baton-rouge-parish-attorney,2014-03-18 15:46:01+00:00,1
128,12,Department of Revenue Services,department-of-revenue-services,2014-03-18 16:19:10+00:00,1
129,38,Minneapolis Police Department Records,minneapolis-police-department-records,2014-03-18 21:06:03+00:00,3
130,16,NYC Taxi and Limousine Commission,nyc-taxi-and-limousine-commission,2014-03-19 19:24:42+00:00,1
131,17,Philadelphia Open Records Office,philadelphia-open-records-office,2014-03-19 21:11:00+00:00,2
132,30,Los Angeles Community College District,los-angeles-community-college-district,2014-03-20 19:15:50+00:00,0
133,30,Los Angeles Community College District,los-angeles-community-college-district-2,2014-03-20 19:17:53+00:00,2
134,28,Ball State University,ball-state-university,2014-03-21 02:44:02+00:00,0
135,28,Ball State University,ball-state-university-2,2014-03-21 02:47:03+00:00,1
136,1,USDA Farm Service Agency,usda-farm-service-agency,2014-03-21 20:45:12+00:00,1
137,1,Office of Refugee Resettlement,office-of-refugee-resettlement,2014-03-25 15:22:42+00:00,0
138,1,"USDA General, USDAFOIA@ocio.usda.gov",usda-general,2014-03-25 23:08:29+00:00,1
139,16,NYCHA,nycha,2014-03-26 14:19:08+00:00,0
140,16,NYCHA,nycha-2,2014-03-26 14:20:08+00:00,1
141,16,New York City Housing Authority,new-york-city-housing-authority,2014-03-26 14:20:43+00:00,1
142,29,Texas Commission on Environmental Quality,texas-commission-on-environmental-quality,2014-03-27 15:01:29+00:00,1
144,1,central intelligence agency,central-intelligence-agency,2014-03-27 21:05:33+00:00,1
145,5,University of Missouri,university-of-missouri,2014-03-30 15:19:05+00:00,2
146,5,University of Missouri System,university-of-missouri-system,2014-03-30 15:19:15+00:00,2
147,37,desoto county sheriff,desoto-county-sheriff,2014-03-31 13:53:57+00:00,1
148,1,U.S. Environmental Protection Agency,us-environmental-protection-agency-3,2014-03-31 15:04:32+00:00,1
149,42,Tucson Police Department,tucson-police-department,2014-03-31 22:40:45+00:00,2
150,25,Office of the Governor,office-of-the-governor-2,2014-04-01 20:52:57+00:00,1
151,29,Texas Department of Transportation ,texas-department-of-transportation,2014-04-01 21:58:45+00:00,0
152,30,Santa Barbara County Sheriff's Department,santa-barbara-county-sheriffs-department,2014-04-02 19:16:15+00:00,0
153,30,Santa Barbara County Sheriff's Department,santa-barbara-county-sheriffs-department-2,2014-04-02 19:17:05+00:00,0
154,29,Texas Department of Transportation ,texas-department-of-transportation-2,2014-04-02 19:50:35+00:00,2
155,40,Alabama Department of Environmental Management,alabama-department-of-environmental-management,2014-04-03 16:56:13+00:00,1
156,1,Office of Information Policy,office-of-information-policy,2014-04-03 17:50:44+00:00,2
157,41,Alaska Department of Environmental Conservation,alaska-department-of-environmental-conservation,2014-04-03 20:03:32+00:00,1
160,52,District Department of Transportation,district-department-of-transportation,2014-04-06 16:21:40+00:00,1
161,42,Arizona Department of Environmental Quality,arizona-department-of-environmental-quality,2014-04-08 16:26:33+00:00,1
162,16,Department of Conservation,department-of-conservation,2014-04-09 13:50:37+00:00,0
163,16,Department of Environmental Conservation,department-of-environmental-conservation,2014-04-09 13:52:39+00:00,1
165,16,New York State Education Department,state-education-department,2014-04-09 14:24:53+00:00,1
166,23,Chicago Fire Department,chicago-fire-department,2014-04-10 13:23:58+00:00,0
167,23,Chicago Fire Department,chicago-fire-department-2,2014-04-10 13:24:47+00:00,0
168,23,Chicago Fire Department,chicago-fire-department-3,2014-04-10 13:34:22+00:00,0
169,1,Department of Treasury,department-of-treasury,2014-04-10 14:23:21+00:00,2
170,23,Chicago Fire Department,chicago-fire-department-4,2014-04-10 16:38:43+00:00,1
172,12,State Department of Education,state-department-of-education,2014-04-11 19:53:35+00:00,1
173,38,Minnesota Department of Public Safety,minnesota-department-of-public-safety,2014-04-14 20:55:57+00:00,1
174,16,Office of the Governor,office-of-the-governor-3,2014-04-16 17:19:55+00:00,1
175,43,State Department of Education,state-department-of-education-2,2014-04-16 19:05:00+00:00,2
176,37,Florida Department of Environmental Protection,florida-department-of-environmental-protection,2014-04-16 21:08:51+00:00,1
177,7,Georgia Environmental Protection Division,georgia-environmental-protection-division,2014-04-17 14:28:07+00:00,1
178,16,Police Department,police-department,2014-04-18 18:22:06+00:00,0
179,16,Office of the Mayor New York City ,office-of-the-mayor-new-york-city,2014-04-21 17:13:39+00:00,2
180,31,Hawaii Department of Health,hawaii-department-of-health,2014-04-21 19:49:19+00:00,2
181,16,New York State Department of Transportation (NYSDOT),department-of-transportation,2014-04-22 18:57:17+00:00,1
183,16,State Department of Transportation,state-department-of-transportation,2014-04-22 18:59:58+00:00,1
185,49,Multnomah County,multnomah-county,2014-04-24 22:24:28+00:00,1
186,25,New Jersey Transit ,new-jersey-transit,2014-04-25 20:27:07+00:00,2
187,1,Department of the Interior,department-of-the-interior,2014-04-28 19:15:01+00:00,0
188,14,Department of Treasury,department-of-treasury-2,2014-04-29 17:39:56+00:00,1
189,14,Michigan Department of Treasury,michigan-department-of-treasury,2014-04-29 17:48:39+00:00,1
190,14,Southeast Michigan Council of Governments,southeast-michigan-council-of-governments,2014-05-01 15:56:53+00:00,1
194,17,Pennsylvania Department of Environmental Protection,pennsylvania-department-of-environmental-protectio,2014-05-02 19:50:02+00:00,1
195,7,Georgia Public Broadcasting,georgia-public-broadcasting,2014-05-05 15:40:58+00:00,0
196,16,Massapequa Park,massapequa-park,2014-05-07 17:11:47+00:00,1
197,6,New Mexico Corrections Department,new-mexico-corrections-department,2014-05-07 19:14:51+00:00,1
198,1,Federal Railroad Administration,federal-railroad-administration,2014-05-07 19:19:48+00:00,1
199,1,Nuclear Regulatory Commission,nuclear-regulatory-commission,2014-05-09 06:14:29+00:00,1
200,16,New York Police Department,new-york-police-department,2014-05-12 19:40:35+00:00,1
201,16,Empire State Development,empire-state-development,2014-05-16 16:17:22+00:00,2
203,29,Harris County,harris-county,2014-05-19 16:03:30+00:00,5
204,20,City of Tacoma,city-of-tacoma,2014-05-19 20:45:23+00:00,2
206,30,Los Angeles Police Department Discovery Section,los-angeles-police-department-discovery-section,2014-05-20 17:07:20+00:00,1
207,29,Travis County Attorney General,travis-county,2014-05-21 15:57:15+00:00,1
208,1,Federal Communications Commission,federal-communications-commission,2014-05-21 18:05:14+00:00,2
209,30,"University of California, Santa Cruz",university-of-california-santa-cruz,2014-05-21 18:43:46+00:00,1
210,30,City of Santa Cruz,city-of-santa-cruz,2014-05-21 18:52:38+00:00,1
211,30,City of Lemon Grove,city-of-lemon-grove,2014-05-21 19:27:06+00:00,1
212,30,San Diego State University,san-diego-state-university,2014-05-21 20:03:05+00:00,9
213,29,Houston ISD,houston-isd,2014-05-25 14:57:06+00:00,1
214,29,City of Dallas,city-of-dallas,2014-05-25 15:01:02+00:00,3
215,29,Austin ISD,austin-isd,2014-05-25 17:09:34+00:00,2
216,29,Cypress-Fairbanks ISD,cypress-fairbanks-isd,2014-05-25 18:23:51+00:00,1
217,29,Houston Community College,houston-community-college,2014-05-25 18:27:18+00:00,1
218,29,San Antonio ISD,san-antonio-independent-school-district,2014-05-25 18:32:44+00:00,1
219,29,Brownsville ISD,brownsville-independent-school-district,2014-05-25 18:35:46+00:00,1
220,29,Pasadena ISD,pasadena-isd,2014-05-25 18:40:54+00:00,1
221,29,North East ISD,north-east-isd,2014-05-25 18:42:19+00:00,1
222,29,City of El Paso,city-of-el-paso,2014-05-25 18:56:11+00:00,2
223,29,Katy ISD,katy-isd,2014-05-25 21:20:00+00:00,1
224,29,Aldine ISD,aldine-isd,2014-05-25 21:24:08+00:00,1
225,29,Round Rock ISD,round-rock-isd,2014-05-25 21:28:57+00:00,1
226,29,University of Houston,university-of-houston,2014-05-25 21:30:41+00:00,1
227,29,Plano ISD,plano-isd,2014-05-25 21:31:51+00:00,1
228,29,Richardson ISD,richardson-isd,2014-05-25 21:33:44+00:00,1
229,29,Tarrant County,tarrant-county,2014-05-25 21:37:32+00:00,3
230,29,Austin Community College,austin-community-college,2014-05-25 21:38:54+00:00,1
231,29,Alamo Colleges,alamo-colleges,2014-05-25 21:41:11+00:00,1
232,29,Dallas Area Rapid Transit,dallas-area-rapid-transit,2014-05-25 21:43:19+00:00,1
233,29,Grand Prairie ISD,grand-prairie,2014-05-25 21:45:46+00:00,1
234,29,Dallas Community College District,dallas-community-college-district,2014-05-25 21:47:58+00:00,1
235,29,Texas State University,texas-state-university,2014-05-25 21:52:17+00:00,1
236,29,Beaumont ISD,beaumont-independent-school-district,2014-05-25 21:54:14+00:00,1
237,29,McKinney ISD,mckinney-independent-school-district,2014-05-25 21:56:22+00:00,1
238,29,Lower Colorado River Authority,lower-colorado-river-authority,2014-05-25 22:00:02+00:00,1
239,29,Lone Star College System,lone-star-college-system,2014-05-25 22:01:58+00:00,1
240,29,Tarrant County College District,tarrant-county-college-district,2014-05-25 22:03:34+00:00,1
241,29,City of Garland,city-of-garland,2014-05-25 22:05:15+00:00,2
243,29,Collin County,collin-county,2014-05-25 22:11:34+00:00,1
244,29,Rockwall ISD,rockwall-independent-school-district,2014-05-25 22:16:05+00:00,1
245,29,City of Mesquite,city-of-mesquite,2014-05-25 22:21:36+00:00,2
246,29,Eanes ISD,eanes-isd,2014-05-25 22:23:05+00:00,1
247,29,City of Grand Prairie,city-of-grand-prairie,2014-05-25 22:24:51+00:00,2
248,29,City of Galveston,city-of-galveston,2014-05-25 22:34:47+00:00,1
249,29,City of Brownsville,city-of-brownsville,2014-05-25 22:37:08+00:00,1
250,8,State Department of Education,state-department-of-education-3,2014-05-27 21:12:32+00:00,2
251,49,Department of Education,department-of-education,2014-05-27 21:38:09+00:00,1
252,45,State of Nevada Department of Education,state-of-nevada-department-of-education,2014-05-27 23:52:58+00:00,2
253,1,VA Greater Los Angeles Healthcare System,va-greater-los-angeles-healthcare-system,2014-05-28 23:35:25+00:00,1
254,24,Department of Education,department-of-education-2,2014-05-29 00:47:00+00:00,2
255,2,Agency of Education,agency-of-education,2014-05-29 01:14:37+00:00,1
256,26,Department of Education,department-of-education-3,2014-05-29 01:59:09+00:00,1
258,1,National Labor Relations Board,national-labor-relations-board,2014-05-30 15:48:33+00:00,1
259,29,Office of the Governor,office-of-the-governor-4,2014-05-30 17:22:03+00:00,3
260,29,Allen ISD,allen-isd,2014-06-01 17:24:30+00:00,1
261,29,Bastrop ISD,bastrop-isd,2014-06-01 17:26:26+00:00,1
262,17,Philadelphia Parking Authority,philadelphia-parking-authority,2014-06-04 04:23:59+00:00,0
263,16,Woodsburgh Village Clerk,woodsburgh-village-clerk,2014-06-04 18:43:42+00:00,1
264,16,Asharoken Village Clerk,asharoken-village-clerk,2014-06-04 18:44:32+00:00,1
265,11,LSU,lsu,2014-06-05 15:34:43+00:00,1
266,16,Williston Park,williston-park,2014-06-05 16:34:32+00:00,1
267,16,Atlantic Beach,atlantic-beach,2014-06-05 16:34:49+00:00,1
268,16,Baxter Estates,baxter-estates,2014-06-05 16:52:35+00:00,1
269,16,Westhampton Beach,westhampton-beach,2014-06-05 16:55:28+00:00,1
270,16,Bayville,bayville,2014-06-05 17:01:18+00:00,1
271,16,Westbury,westbury,2014-06-05 17:04:45+00:00,1
272,16,Westhampton Dunes,westhampton-dunes,2014-06-05 17:13:12+00:00,0
273,16,West Hampton Dunes,west-hampton-dunes,2014-06-05 17:15:48+00:00,1
274,16,Bellerose,bellerose,2014-06-05 17:51:49+00:00,1
275,16,Village of the Branch,village-of-the-branch,2014-06-05 17:51:57+00:00,1
276,16,Bell Terre,bell-terre,2014-06-05 18:00:06+00:00,1
277,16,Upper Brookville,upper-brookville,2014-06-05 18:00:10+00:00,1
278,16,Bellport,bellport,2014-06-05 18:07:20+00:00,1
279,16,Thomaston,thomaston,2014-06-05 18:09:42+00:00,1
280,16,Stewart Manor,stewart-manor,2014-06-05 18:15:38+00:00,1
281,16,Brightwaters,brightwaters,2014-06-05 18:17:55+00:00,1
282,16,Brookville,brookhaven,2014-06-05 18:22:10+00:00,1
283,16,Southampton,southampton,2014-06-05 18:22:45+00:00,1
284,16,South Floral Park,south-floral-park,2014-06-05 18:29:28+00:00,1
285,16,Cedarhurst,cedarhurst,2014-06-05 18:31:10+00:00,1
286,16,Shoreham,shoreham,2014-06-05 18:36:01+00:00,1
287,16,Cove Neck,cove-neck,2014-06-05 18:38:28+00:00,1
288,16,Dering Harbor,dering-harbor,2014-06-05 18:50:07+00:00,1
289,16,East Hills,east-hills,2014-06-05 18:59:52+00:00,0
290,16,East Hills Village,east-hills-village,2014-06-05 19:08:28+00:00,1
291,16,East Rockaway,east-rockaway,2014-06-05 19:15:13+00:00,1
292,16,East Williston,east-williston,2014-06-05 19:25:49+00:00,1
293,16,Sea Cliff,sea-cliff,2014-06-06 14:09:09+00:00,1
294,16,Saltaire,saltaire,2014-06-06 14:15:52+00:00,1
295,16,Sagaponack,sagaponack,2014-06-06 14:23:59+00:00,1
296,16,Sag Harbor,sag-harbor,2014-06-06 14:30:07+00:00,1
297,16,Saddle Rock,saddle-rock,2014-06-06 14:35:12+00:00,1
298,16,Farmingdale,farmingdale,2014-06-06 14:38:01+00:00,1
299,16,Russell Gardens,russell-gardens,2014-06-06 14:41:12+00:00,0
300,16,Russell Gardens,russell-gardens-2,2014-06-06 14:43:23+00:00,1
301,16,Roslyn Harbor,roslyn-harbo,2014-06-06 14:49:02+00:00,1
302,16,Floral Park,floral-park,2014-06-06 14:50:33+00:00,1
303,16,Flower Hill,flower-hill,2014-06-06 15:00:29+00:00,0
304,16,Flower Hill Village,flower-hill-village,2014-06-06 15:01:41+00:00,1
305,16,Roslyn Estates,roslyn-estates,2014-06-06 15:03:59+00:00,1
306,16,Great Neck,great-neck,2014-06-06 15:06:36+00:00,1
307,16,Great Neck Estates,great-neck-estates,2014-06-06 15:12:22+00:00,1
308,16,Roslyn,roslyn,2014-06-06 15:12:42+00:00,1
309,16,Rockville Centre,rockville-centre,2014-06-06 15:17:37+00:00,1
310,16,Great Neck Plaza,great-neck-plaza,2014-06-06 15:18:02+00:00,1
311,16,Greenport,greenport,2014-06-06 15:21:59+00:00,1
312,16,Port Washington North,port-washington-north,2014-06-06 15:28:45+00:00,1
313,16,Head of the Harbor,head-of-the-harbor,2014-06-06 15:30:06+00:00,1
314,16,Hempstead,hempstead,2014-06-06 15:42:38+00:00,1
315,16,Hewlett Bay Park,marie-velotti,2014-06-06 15:48:37+00:00,0
316,16,Port Jefferson,port-jefferson,2014-06-06 15:50:26+00:00,1
317,16,Poquott,poquott,2014-06-06 16:04:59+00:00,1
318,16,Plandome Manor,plandome-manor,2014-06-06 16:15:08+00:00,1
319,16,Island Park,island-park,2014-06-06 16:16:53+00:00,1
320,16,Plandome Heights,plandome-heights,2014-06-06 16:27:16+00:00,1
321,16,Islandia,islandia,2014-06-06 16:27:54+00:00,1
322,16,Lake Grove,lake-grove,2014-06-06 16:33:46+00:00,1
323,16,Plandome,plandome,2014-06-06 16:34:12+00:00,1
324,16,Patchogue,patchogue,2014-06-06 16:39:24+00:00,0
325,16,Patchogue,patchogue-2,2014-06-06 16:39:59+00:00,1
326,16,Old Field,old-field,2014-06-06 16:44:39+00:00,1
327,16,Northport,northport,2014-06-06 16:51:27+00:00,1
328,16,North Hills,north-hills,2014-06-06 16:55:50+00:00,1
329,16,Lattingtown,lattingtown,2014-06-06 16:55:53+00:00,1
330,16,North Haven,north-haven,2014-06-06 17:02:02+00:00,1
331,16,Laurel Hollow,laurel-hollow,2014-06-06 17:02:21+00:00,1
332,16,New Hyde Park,new-hyde-park,2014-06-06 17:06:05+00:00,1
333,16,Muttontown,muttontown,2014-06-06 18:15:14+00:00,1
334,16,Lawrence,lawrence,2014-06-06 18:15:50+00:00,1
335,16,Lindenhurst,lindenhurst,2014-06-06 18:18:17+00:00,0
336,16,Lindenhurst Village,lindenhurst-village,2014-06-06 18:19:48+00:00,1
337,16,Munsey Park,munsey-town,2014-06-06 18:20:57+00:00,1
338,16,Manorhaven,manorhaven,2014-06-06 18:25:16+00:00,1
339,16,Mineola,mineola,2014-06-06 18:26:27+00:00,1
340,16,Mastic Beach,mastic-beach,2014-06-06 18:29:06+00:00,0
341,16,Mastic Beach Village,mastic-beach-village,2014-06-06 18:30:16+00:00,1
342,16,Matinecock,matinecock,2014-06-06 18:33:44+00:00,1
343,16,Mill Neck,mill-neck,2014-06-06 18:43:21+00:00,1
344,16,Sands Point,sands-point,2014-06-06 18:50:11+00:00,1
345,16,Quogue,quogue,2014-06-06 18:56:22+00:00,1
346,16,Amityville,amityville,2014-06-06 18:59:02+00:00,1
347,16,Babylon,babylon,2014-06-06 19:02:40+00:00,1
348,16,Oyster Bay Cove,oyster-bay-cove,2014-06-06 19:05:29+00:00,1
349,16,Centre Island,centre-island,2014-06-06 19:07:17+00:00,0
350,16,Centre Island Village,centre-island-village,2014-06-06 19:07:44+00:00,1
351,16,Old Westbury,old-westbury,2014-06-06 19:11:55+00:00,1
352,16,East Hampton,east-hampton,2014-06-06 19:14:09+00:00,1
353,16,Freeport,freeport,2014-06-06 19:17:06+00:00,0
354,16,Freeport Village,freeport-village,2014-06-06 19:17:22+00:00,1
355,16,Garden City,garden-city,2014-06-06 19:22:42+00:00,1
356,16,Old Brookville,old-brookville,2014-06-06 19:26:19+00:00,1
357,16,Huntington Bay,huntington-bay,2014-06-06 19:26:41+00:00,1
